iter	RMSE
0	561143.2381
1	505120.3972
2	463680.1555
3	432918.3541
4	412946.2103
5	394773.6039
6	383111.6255
7	373359.0084
8	364044.9886
9	355656.8496
10	351059.4699
11	346328.2551
12	341793.6843
13	338133.2232
14	334768.0144
15	331940.0791
16	329704.0006
17	327120.4329
18	324725.583
19	322282.3353
20	320825.9854
21	318674.8254
22	317317.6788
23	315888.2677
24	314659.6017
25	313450.1341
26	311263.0365
27	310187.9529
28	308692.3956
29	307887.796
30	307128.7007
31	305919.7033
32	304496.6268
33	303118.9425
34	302403.8188
35	301409.5427
36	300211.8182
37	299321.0993
38	298523.8026
39	296986.7339
40	295854.0651
41	295279.3897
42	294367.0516
43	293232.6916
44	292229.9462
45	291569.0291
46	290667.9491
47	290151.4918
48	289259.0142
49	288552.7483
50	287858.0602
51	287231.7054
52	286486.0376
53	285763.0891
54	285024.5375
55	284279.4202
56	283688.8629
57	282676.6817
58	282192.5833
59	281684.4001
60	281096.9004
61	280574.9771
62	279519.6529
63	278818.9092
64	278276.7766
65	277340.0577
66	276454.0486
67	275820.4117
68	275247.6307
69	274720.5248
70	274194.0147
71	273753.8135
72	272983.4915
73	272176.4824
74	271834.7975
75	271476.5415
76	271200.8425
77	270764.9142
78	270270.1223
79	269704.6945
80	269167.4843
81	268797.6533
82	268374.2692
83	267902.272
84	267434.8278
85	267201.8267
86	266737.6125
87	266270.972
88	265828.8454
89	265531.556
90	265325.5046
91	264827.9223
92	264350.1669
93	264029.4766
94	263654.3268
95	263353.5144
96	263143.7908
97	263050.5528
98	262714.5988
99	262166.7937
100	261853.6297
101	261440.8774
102	260698.994
103	260385.4223
104	259784.9811
105	259670.3082
106	259008.0842
107	258709.7757
108	258361.0745
109	257770.9506
110	257551.0129
111	257223.333
112	256939.3238
113	256727.8653
114	256521.4022
115	256307.0052
116	255957.9655
117	255710.6477
118	255479.3123
119	255296.8956
120	254926.7969
121	254416.5306
122	254176.7676
123	253829.5508
124	253412.6598
125	252995.9651
126	252923.8217
127	252703.934
128	252175.1902
129	251804.5073
130	251369.6605
131	251129.3419
132	250917.2512
133	250751.2386
134	250148.2751
135	249853.7966
136	249402.7485
137	249304.5062
138	248965.1773
139	248717.8647
140	248585.9607
141	248194.9399
142	247992.5355
143	247834.4063
144	247637.7536
145	247516.0706
146	247169.1029
147	246765.7213
148	246400.5482
149	246115.6491
150	245960.6786
151	245673.9995
152	245601.2867
153	245489.4985
154	245363.8221
155	245278.3307
156	245123.2238
157	244749.2498
158	244473.6997
159	244390.6697
160	244236.1311
161	243939.1861
162	243593.012
163	243385.6306
164	243261.8356
165	243016.5424
166	242787.1541
167	242581.4519
168	242466.6078
169	242418.672
170	242223.9606
171	242108.163
172	241964.9568
173	241918.0466
174	241565.2027
175	241421.3513
176	241246.4054
177	241084.9606
178	240847.3718
179	240538.9685
180	240453.3576
181	240271.8218
182	240078.8249
183	239771.7162
184	239630.033
185	239455.5026
186	239209.4089
187	239127.7995
188	238710.6742
189	238679.6934
190	238468.7465
191	238094.3085
192	238041.6567
193	237908.9647
194	237784.5499
195	237383.2012
196	237176.8923
197	237064.9836
198	236600.2112
199	236520.0224
