iter	Logloss
0	0.6810808489
1	0.6684561699
2	0.6544095316
3	0.6412498105
4	0.626065408
5	0.6119261711
6	0.6000109642
7	0.5917241496
8	0.5784877039
9	0.563034919
10	0.5506694548
11	0.5383233101
12	0.531438766
13	0.5215791272
14	0.5126143732
15	0.50447384
16	0.4951275856
17	0.4859419792
18	0.4774281902
19	0.4692878416
20	0.4616365125
21	0.4544402707
22	0.4474851239
23	0.4405801835
24	0.4327012339
25	0.4239983712
26	0.4163032347
27	0.4078706311
28	0.4017717608
29	0.3962793658
30	0.3906378592
31	0.385652173
32	0.3810576777
33	0.3752965927
34	0.3689175883
35	0.3627207048
36	0.3575664028
37	0.3527123851
38	0.3483414804
39	0.3436935179
40	0.3386551642
41	0.3344770247
42	0.3299734669
43	0.3266583104
44	0.3228741
45	0.3176628236
46	0.3131895373
47	0.3099134814
48	0.3059994482
49	0.3036240301
50	0.3004595234
51	0.2966500867
52	0.2923670123
53	0.2895924353
54	0.2867458097
55	0.2834871046
56	0.2793089344
57	0.2750444412
58	0.2724789343
59	0.2690135279
60	0.2653240696
61	0.2612847974
62	0.2584552765
63	0.2563272292
64	0.2539296765
65	0.2511060315
66	0.2483797227
67	0.2457674549
68	0.2434644238
69	0.2409947611
70	0.2381705623
71	0.2361072263
72	0.2340234018
73	0.2299144191
74	0.2275316946
75	0.2254899086
76	0.2237097063
77	0.2212053114
78	0.2193664735
79	0.2177288609
80	0.2158354944
81	0.2138862764
82	0.2116971477
83	0.2096195221
84	0.2071811768
85	0.205283165
86	0.2032533923
87	0.2015912917
88	0.1993751834
89	0.1970073177
90	0.1956300735
91	0.1944944935
92	0.1928686327
93	0.1916221188
94	0.1903813424
95	0.1890130504
96	0.187061802
97	0.1855124197
98	0.1846491598
99	0.1830660143
100	0.1815652232
101	0.1803832823
102	0.1788222867
103	0.177769261
104	0.1764174431
105	0.1751106785
106	0.1737641981
107	0.172616974
108	0.1715346152
109	0.1699367031
110	0.1684768892
111	0.1672826275
112	0.165106558
113	0.1630351005
114	0.1614804576
115	0.1602843192
116	0.1586656109
117	0.1576404264
118	0.156966394
119	0.1554624804
120	0.1543068271
121	0.1535490098
122	0.1526422501
123	0.151612774
124	0.1505762223
125	0.1494154469
126	0.1484876448
127	0.1475285715
128	0.1462504479
129	0.1450115635
130	0.144402104
131	0.1434395083
132	0.1416991142
133	0.1404714892
134	0.1391504042
135	0.1382339078
136	0.1372046624
137	0.1362375136
138	0.1357734588
139	0.1348483793
140	0.1343691118
141	0.1334581837
142	0.1323862999
143	0.1314139366
144	0.1306431678
145	0.1294628728
146	0.1288194964
147	0.1279933222
148	0.12733924
149	0.1267454393
150	0.1252188375
151	0.1242669782
152	0.1236128884
153	0.1228870269
154	0.1222817436
155	0.1215437458
156	0.1203813168
157	0.1197372867
158	0.1187873194
159	0.1178455045
160	0.1169472817
161	0.1163742773
162	0.1153944538
163	0.1142223881
164	0.1136109906
165	0.1129568469
166	0.1116278787
167	0.1106728661
168	0.1101588511
169	0.1091881644
170	0.108290057
171	0.107823518
172	0.1072847305
173	0.1066082139
174	0.1060997901
175	0.1052485666
176	0.1045393867
177	0.1038570558
178	0.1030546004
179	0.1025328713
180	0.1017441288
181	0.1013621361
182	0.1007266198
183	0.100046327
184	0.09932934084
185	0.09874724573
186	0.09799471209
187	0.09757001938
188	0.09688495821
189	0.09643387025
190	0.09577439677
191	0.09513135879
192	0.09459901625
193	0.0939282525
194	0.09324529094
195	0.09271860892
196	0.09211901695
197	0.09150126673
198	0.09112348864
199	0.09071468538
