iter	Passed	Remaining
0	1	393
1	3	363
2	5	354
3	6	312
4	7	310
5	9	317
6	11	316
7	13	312
8	14	310
9	16	306
10	17	305
11	19	303
12	21	302
13	22	303
14	24	301
15	26	299
16	27	298
17	29	297
18	30	294
19	32	292
20	34	290
21	35	288
22	37	286
23	38	283
24	40	280
25	42	281
26	43	278
27	45	278
28	46	276
29	48	275
30	50	273
31	51	272
32	53	271
33	55	268
34	56	267
35	58	266
36	59	264
37	61	262
38	63	261
39	65	260
40	66	259
41	68	258
42	70	257
43	72	256
44	73	254
45	75	253
46	77	252
47	79	250
48	80	248
49	82	246
50	83	244
51	85	242
52	86	240
53	88	238
54	89	236
55	90	233
56	92	231
57	93	229
58	95	227
59	97	227
60	98	225
61	100	223
62	101	221
63	103	219
64	104	217
65	105	215
66	107	213
67	108	211
68	110	209
69	112	208
70	113	206
71	115	205
72	117	203
73	118	202
74	120	200
75	122	199
76	123	197
77	125	196
78	126	194
79	128	192
80	129	190
81	131	189
82	133	187
83	134	185
84	136	184
85	137	182
86	139	180
87	140	179
88	142	177
89	144	176
90	145	174
91	146	171
92	147	170
93	149	168
94	151	167
95	152	165
96	154	163
97	155	162
98	157	160
99	158	158
100	160	157
101	161	155
102	163	153
103	164	151
104	166	150
105	167	148
106	168	146
107	170	145
108	171	143
109	172	141
110	174	139
111	175	137
112	177	136
113	178	134
114	180	133
115	181	131
116	183	129
117	184	128
118	185	126
119	187	124
120	188	123
121	190	121
122	191	120
123	193	118
124	194	116
125	196	115
126	197	113
127	199	112
128	200	110
129	202	108
130	203	107
131	205	105
132	206	104
133	208	102
134	209	100
135	211	99
136	212	97
137	214	96
138	215	94
139	217	93
140	218	91
141	220	89
142	221	88
143	222	86
144	224	85
145	225	83
146	227	81
147	228	80
148	230	78
149	231	77
150	232	75
151	234	73
152	235	72
153	237	70
154	237	69
155	239	67
156	240	65
157	242	64
158	243	62
159	245	61
160	246	59
161	248	58
162	249	56
163	251	55
164	252	53
165	254	52
166	256	50
167	257	49
168	259	47
169	261	46
170	262	44
171	264	43
172	265	41
173	267	39
174	268	38
175	270	36
176	272	35
177	273	33
178	275	32
179	277	30
180	278	29
181	280	27
182	281	26
183	283	24
184	285	23
185	286	21
186	288	20
187	290	18
188	291	16
189	293	15
190	295	13
191	296	12
192	297	10
193	299	9
194	301	7
195	302	6
196	304	4
197	305	3
198	307	1
199	308	0
